61,user_61,pass_61,87
62,user_62,pass_62,53
63,user_63,pass_63,18
64,user_64,pass_64,14
65,user_65,pass_65,37
66,user_66,pass_66,44
67,user_67,pass_67,58
68,user_68,pass_68,7
69,user_69,pass_69,63
70,user_70,pass_70,92
61,user_61,pass_61,33
62,user_62,pass_62,23
63,user_63,pass_63,3
64,user_64,pass_64,8
65,user_65,pass_65,86
66,user_66,pass_66,30
67,user_67,pass_67,70
68,user_68,pass_68,75
69,user_69,pass_69,0
7,user_7,pass_7,30
70,user_70,pass_70,62
61,user_61,pass_61,33
62,user_62,pass_62,23
63,user_63,pass_63,3
64,user_64,pass_64,8
65,user_65,pass_65,86
66,user_66,pass_66,30
67,user_67,pass_67,70
68,user_68,pass_68,75
69,user_69,pass_69,0
7,user_7,pass_7,30
70,user_70,pass_70,62
61,user_61,pass_61,33
62,user_62,pass_62,23
63,user_63,pass_63,3
64,user_64,pass_64,8
65,user_65,pass_65,86
66,user_66,pass_66,30
67,user_67,pass_67,70
68,user_68,pass_68,75
69,user_69,pass_69,0
7,user_7,pass_7,30
70,user_70,pass_70,62
61,user_61,pass_61,33
62,user_62,pass_62,23
63,user_63,pass_63,3
64,user_64,pass_64,8
65,user_65,pass_65,86
66,user_66,pass_66,30
67,user_67,pass_67,70
68,user_68,pass_68,75
69,user_69,pass_69,0
7,user_7,pass_7,30
70,user_70,pass_70,62
61,user_61,pass_61,33
62,user_62,pass_62,23
63,user_63,pass_63,3
64,user_64,pass_64,8
65,user_65,pass_65,86
66,user_66,pass_66,30
67,user_67,pass_67,70
68,user_68,pass_68,75
69,user_69,pass_69,0
7,user_7,pass_7,30
70,user_70,pass_70,62
61,user_61,pass_61,33
62,user_62,pass_62,23
63,user_63,pass_63,3
64,user_64,pass_64,8
65,user_65,pass_65,86
66,user_66,pass_66,30
67,user_67,pass_67,70
68,user_68,pass_68,75
69,user_69,pass_69,0
7,user_7,pass_7,30
70,user_70,pass_70,62
61,user_61,pass_61,33
62,user_62,pass_62,23
63,user_63,pass_63,3
64,user_64,pass_64,8
65,user_65,pass_65,86
66,user_66,pass_66,30
67,user_67,pass_67,70
68,user_68,pass_68,75
69,user_69,pass_69,0
7,user_7,pass_7,30
70,user_70,pass_70,62
61,user_61,pass_61,33
62,user_62,pass_62,23
63,user_63,pass_63,3
64,user_64,pass_64,8
65,user_65,pass_65,86
66,user_66,pass_66,30
67,user_67,pass_67,70
68,user_68,pass_68,75
69,user_69,pass_69,0
7,user_7,pass_7,30
70,user_70,pass_70,62
61,user_61,pass_61,33
62,user_62,pass_62,23
63,user_63,pass_63,3
64,user_64,pass_64,8
65,user_65,pass_65,86
66,user_66,pass_66,30
67,user_67,pass_67,70
68,user_68,pass_68,75
69,user_69,pass_69,0
7,user_7,pass_7,30
70,user_70,pass_70,62
61,user_61,pass_61,33
62,user_62,pass_62,23
63,user_63,pass_63,3
64,user_64,pass_64,8
65,user_65,pass_65,86
66,user_66,pass_66,30
67,user_67,pass_67,70
68,user_68,pass_68,75
69,user_69,pass_69,0
7,user_7,pass_7,30
70,user_70,pass_70,62
61,user_61,pass_61,33
62,user_62,pass_62,23
63,user_63,pass_63,3
64,user_64,pass_64,8
65,user_65,pass_65,86
66,user_66,pass_66,30
67,user_67,pass_67,70
68,user_68,pass_68,75
69,user_69,pass_69,0
7,user_7,pass_7,30
70,user_70,pass_70,62
61,user_61,pass_61,33
62,user_62,pass_62,23
63,user_63,pass_63,3
64,user_64,pass_64,8
65,user_65,pass_65,86
66,user_66,pass_66,30
67,user_67,pass_67,70
68,user_68,pass_68,75
69,user_69,pass_69,0
7,user_7,pass_7,30
70,user_70,pass_70,62
61,user_61,pass_61,33
62,user_62,pass_62,23
63,user_63,pass_63,3
64,user_64,pass_64,8
65,user_65,pass_65,86
66,user_66,pass_66,30
67,user_67,pass_67,70
68,user_68,pass_68,75
69,user_69,pass_69,0
7,user_7,pass_7,30
70,user_70,pass_70,62
61,user_61,pass_61,33
62,user_62,pass_62,23
63,user_63,pass_63,3
64,user_64,pass_64,8
65,user_65,pass_65,86
66,user_66,pass_66,30
67,user_67,pass_67,70
68,user_68,pass_68,75
69,user_69,pass_69,0
7,user_7,pass_7,30
70,user_70,pass_70,62
61,user_61,pass_61,33
62,user_62,pass_62,23
63,user_63,pass_63,3
64,user_64,pass_64,8
65,user_65,pass_65,86
66,user_66,pass_66,30
67,user_67,pass_67,70
68,user_68,pass_68,75
69,user_69,pass_69,0
7,user_7,pass_7,30
70,user_70,pass_70,62
61,user_61,pass_61,33
62,user_62,pass_62,23
63,user_63,pass_63,3
64,user_64,pass_64,8
65,user_65,pass_65,86
66,user_66,pass_66,30
67,user_67,pass_67,70
68,user_68,pass_68,75
69,user_69,pass_69,0
7,user_7,pass_7,30
70,user_70,pass_70,62
61,user_61,pass_61,33
62,user_62,pass_62,23
63,user_63,pass_63,3
64,user_64,pass_64,8
65,user_65,pass_65,86
66,user_66,pass_66,30
67,user_67,pass_67,70
68,user_68,pass_68,75
69,user_69,pass_69,0
7,user_7,pass_7,30
70,user_70,pass_70,62
61,user_61,pass_61,33
62,user_62,pass_62,23
63,user_63,pass_63,3
64,user_64,pass_64,8
65,user_65,pass_65,86
66,user_66,pass_66,30
67,user_67,pass_67,70
68,user_68,pass_68,75
